Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D5.0mm_P2.00mm,1,10μF,
C2,C_Disc_D3.0mm_W1.6mm_P2.50mm,1,100nf,
C3,C_Disc_D3.0mm_W1.6mm_P2.50mm,1,1uf,
C4,CP_Radial_D5.0mm_P2.00mm,1,22μ1,
C5,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,22uf,
"C6, C8, C9",C_Disc_D5.0mm_W2.5mm_P5.00mm,3,100nf,
C7,CP_Radial_D5.0mm_P2.00mm,1,47μ,
"D1, D2",LED_D5.0mm,2,LED,
D3,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N5819,
D4,D_DO-201AD_P15.24mm_Horizontal,1,1N5820,
J1,"TerminalBlock_Phoenix_MPT-0,5-3-2.54_1x03_P2.54mm_Horizontal",1,BMS power input,
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
M1,INMP441_module,1,~,
"R1, R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,5.1kΩ,
"R3, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,10kΩ,
"R5, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,100Ω,
"SW1, SW2",MX_PCB_1.00u,2,Switch,
SW3,SW_PUSH_6mm,1,SW_en,
SW4,SW_PUSH_6mm,1,SW_boot,
SW5,Encoder_EC11_MX,1,RotaryEncoder_Switch_MP,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U2,MODULE_TC00500,1,TC00500,
U3,CR2013-MI2120,1,CR2013-MI2120,
U4,MODULE_254,1,Sd card breakout module,
U5,MODULE_ZC440600,1,ZC440600,
U7,SOT-223-3_TabPin2,1,AMS1117-3.3,
U8,MAX98357A_Adafruit_Breakout,1,MAX98357A - L,
