"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U1";"ESP32-S3-WROOM-1";1;"ESP32-S3-WROOM-1";;;
2;"C1";"CP_Radial_D5.0mm_P2.00mm";1;"10μF";;;
3;"C2";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"100nf";;;
4;"C7";"CP_Radial_D5.0mm_P2.00mm";1;"47μ";;;
5;"C8,C9,C6";"C_Disc_D5.0mm_W2.5mm_P5.00mm";3;"100nf";;;
6;"R3,R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"10kΩ";;;
7;"U7";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
8;"U5";"MODULE_ZC440600";1;"ZC440600";;;
9;"U3";"CR2013-MI2120";1;"CR2013-MI2120";;;
10;"C3";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"1uf";;;
11;"R1,R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"5.1kΩ";;;
12;"SW2,SW1";"MX_PCB_1.00u";2;"Switch";;;
13;"C4";"CP_Radial_D5.0mm_P2.00mm";1;"22μ1";;;
14;"J2";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0_16P";;;
15;"SW4";"SW_PUSH_6mm";1;"SW_boot";;;
16;"C5";"C_Disc_D5.0mm_W2.5mm_P5.00mm";1;"22uf";;;
17;"M1";"INMP441_module";1;"~";;;
18;"SW3";"SW_PUSH_6mm";1;"SW_en";;;
19;"U8";"MAX98357A_Adafruit_Breakout";1;"MAX98357A - L";;;
20;"U2";"MODULE_TC00500";1;"TC00500";;;
21;"SW5";"Encoder_EC11_MX";1;"RotaryEncoder_Switch_MP";;;
22;"U4";"MODULE_254";1;"Sd card breakout module";;;
